,Date,d20_ma_chg_zscore,d50_ma_chg_zscore,d200_ma_chg_zscore
11331,2018-01-22,-0.6009474684894145,-0.8350705361226339,-0.08483101507060811
11332,2018-01-23,-0.030483675259290063,-0.46635223489693556,0.10513337730956437
11333,2018-01-24,-0.37587993981409545,-0.706239179063071,-0.04071084491569017
11334,2018-01-25,0.09262689543212828,-0.39941303968184333,0.11487455935405158
11335,2018-01-26,1.010287325331649,0.21704765137950263,0.4415487582372017
11336,2018-01-29,0.6055188877009616,-0.04601885091458654,0.28429388037395853
11337,2018-01-30,0.49805167152444363,-0.11798195912347224,0.23237999906324291
11338,2018-01-31,1.1431205020088262,0.32586112577354664,0.464743869344966
11339,2018-02-01,0.669598927029436,0.04506465709796854,0.30306019803662415
11340,2018-02-02,0.5326310767949395,-0.011467464773527399,0.2629192852554241
11341,2018-02-05,0.17334176018153355,-0.22571542458883354,0.1348934501125632
11342,2018-02-06,-0.75744122184951,-0.8479024240705261,-0.21652363836521948
11343,2018-02-07,-1.0204458151627056,-1.0254530340032784,-0.329382914404752
11344,2018-02-08,-1.541203933743163,-1.3733451596737938,-0.5380030599574294
11345,2018-02-09,-0.9418333585392172,-0.9686214333788802,-0.33873500718870686
11346,2018-02-12,-0.5491943184048291,-0.6911761249002922,-0.20638588064794552
11347,2018-02-13,-0.3352608067215222,-0.5277785988141177,-0.13496930605334892
11348,2018-02-14,-0.5199584752901316,-0.6423658580385494,-0.21329051260983872
11349,2018-02-15,0.3341115527782843,-0.048155980874990144,0.09536912808682164
11350,2018-02-16,0.6042462774518779,0.1704878301107072,0.20445055359622324
11351,2018-02-20,0.10736221297341456,-0.12258981571924692,0.034449482644882956
11352,2018-02-21,-0.3014419088267155,-0.3835871295812243,-0.12079283032496932
11353,2018-02-22,-0.20397089795931983,-0.2907343815934883,-0.08734288025019225
11354,2018-02-23,0.5693063217516577,0.25458929876158204,0.19045329929514923
11355,2018-02-26,0.2723537417470553,0.04225853210641164,0.06612705840037399
11356,2018-02-27,-0.2933288777373756,-0.3489058466297362,-0.15514465257879914
11357,2018-02-28,-0.16718929666919782,-0.2691306617182876,-0.1272658169187711
11358,2018-03-01,0.10719709323775087,-0.107784500771795,-0.05552016113706607
11359,2018-03-02,0.06526595179303307,-0.15004298152460763,-0.08924919440327587
11360,2018-03-05,0.5199022603126995,0.1433937172319062,0.06052296894625738
11361,2018-03-06,0.16934940730244416,-0.09559904482561206,-0.07255298245846682
11362,2018-03-07,0.09020222278278617,-0.12033148697897433,-0.09351809919394721
11363,2018-03-08,0.284038767231574,0.05218276631872493,-0.008600613308999869
11364,2018-03-09,0.2877617958993095,0.11815229244155753,0.0215277261358909
11365,2018-03-12,0.13744219199436722,0.06334459403800283,-0.01400790575411685
11366,2018-03-13,0.1465441781553622,0.10618384751930374,0.0009609448987072363
11367,2018-03-14,0.7530570631613345,0.5567868624683304,0.23474535369991034
11368,2018-03-15,0.6956213100839469,0.5659108759147645,0.2374674605602447
11369,2018-03-16,1.212618446085553,0.9348386849733271,0.43835174708794605
11370,2018-03-19,0.9480838438212833,0.7583206024765339,0.35172982333878294
11371,2018-03-20,0.9779547417143147,0.8001919751678869,0.38012244103267445
11372,2018-03-21,0.8234060417336592,0.73381283263029,0.34877140320537886
11373,2018-03-22,1.0868251836546718,0.950795214983015,0.47084832054065145
11374,2018-03-23,0.5737717900711738,0.6003885815620958,0.29246881012766973
11375,2018-03-26,0.8915409903622098,0.8320985766300963,0.4237324705041339
11376,2018-03-27,1.0102186663702977,0.9540102993688837,0.4981266259590672
11377,2018-03-28,0.843083961689526,0.8775555115345737,0.4664604153907906
11378,2018-03-29,0.9496617595646144,0.9878854112877457,0.5331731838752054
11379,2018-04-02,0.6638835891043796,0.8259782928601631,0.45648973046392277
11380,2018-04-03,0.5210129503900456,0.7430405060654269,0.4223988819375638
11381,2018-04-04,0.4950798235290929,0.7528417572136331,0.43847754533699096
11382,2018-04-05,0.7121407338787152,0.9447818355620585,0.5491428665150702
11383,2018-04-06,0.3845612464443831,0.744307192041646,0.4521857811455751
11384,2018-04-09,0.1919836174200832,0.6364024280154577,0.40005482823673894
11385,2018-04-10,0.05559683197182431,0.5810082529810606,0.3689288825775421
11386,2018-04-11,-0.15325893524392756,0.4649195796089902,0.3081771774557289
11387,2018-04-12,-0.5443166102713266,0.19160014994716237,0.16275182267666116
11388,2018-04-13,-0.34194787912208807,0.3398827423656294,0.23767088106792714
11389,2018-04-16,0.014648151069172907,0.5769871411288069,0.3644878938884778
11390,2018-04-17,0.19502715654925717,0.7031454723282642,0.43363741901056313
11391,2018-04-18,0.10188712342154041,0.6316264814916296,0.3995298342701902
11392,2018-04-19,0.016398527706540655,0.5534680995572259,0.3682303730826858
11393,2018-04-20,-0.3101992697527241,0.28702819718639505,0.2362582597674909
11394,2018-04-23,-0.2603943242205327,0.28919925205853547,0.25225139771030974
11395,2018-04-24,-0.06721625225551829,0.3884442023640081,0.31758047686813523
11396,2018-04-25,-0.3999868779070487,0.11817812282524315,0.18056578580954363
11397,2018-04-26,0.14585779092509726,0.46456033398156565,0.3752687775224289
11398,2018-04-27,0.28419764314484786,0.525484671352519,0.41938728741540715
11399,2018-04-30,0.25956866111196214,0.4932518014833149,0.4070781357117329
11400,2018-05-01,0.11491270189192396,0.3834877270964507,0.3504412088141832
11401,2018-05-02,0.14831326684653218,0.3876979872374078,0.3581980411472564
11402,2018-05-03,0.08237988202383968,0.3064391223958674,0.32274201810661335
11403,2018-05-04,0.2675407166540289,0.4093932437775885,0.3867220225709852
11404,2018-05-07,0.11339232615144568,0.293949409817625,0.32738499331704424
11405,2018-05-08,-0.5301291328603076,-0.16815538530984514,0.08046274779530863
11406,2018-05-09,-0.8159625053581815,-0.39620659733593405,-0.038552789477533926
11407,2018-05-10,-0.45344741480091033,-0.16473275318500258,0.0911318980179665
11408,2018-05-11,-0.3602402072099019,-0.1179872663188725,0.12127602980155874
11409,2018-05-14,-0.4459002823769096,-0.2071867418417827,0.07782695702532773
11410,2018-05-15,-0.6645597024027259,-0.3922227755465177,-0.02155656729106166
11411,2018-05-16,-0.9351329859965793,-0.6200751148432712,-0.14297412670786097
11412,2018-05-17,-1.0226605914069928,-0.7258198671935276,-0.19888634153258186
11413,2018-05-18,-0.9760466262561699,-0.7273276367631646,-0.2002274577136893
11414,2018-05-21,-0.23666247185988293,-0.2528072191538121,0.05852937934143216
11415,2018-05-22,-0.3634781056545288,-0.3680199996480206,-0.0012004498742079455
11416,2018-05-23,-0.19808101566048836,-0.2724679287211785,0.05335511576619208
11417,2018-05-24,-2.816997610727317e-05,-0.161750941313798,0.11250537114217218
11418,2018-05-25,0.25193566860838135,-0.015194699074024926,0.19202775597759153
11419,2018-05-29,0.5081610456737605,0.14699300953891778,0.2774362397431278
11420,2018-05-30,0.7868255570636257,0.3317645117458041,0.37799947205257267
11421,2018-05-31,0.8680370472120955,0.3871800202299925,0.40898656575554054
11422,2018-06-01,0.33828482975506696,0.02726663743954082,0.2138864455835972
11423,2018-06-04,-0.0038077564346275235,-0.21713638330462323,0.07699595363561641
11424,2018-06-05,-0.32785074874628956,-0.45777106679708196,-0.056836738071501185
11425,2018-06-06,-0.9083069150109851,-0.8533085397711053,-0.27933322862521864
11426,2018-06-07,-0.8415097280919804,-0.8055235956085129,-0.2640360106650108
11427,2018-06-08,-0.7269990681985495,-0.7375561723833669,-0.23694638772844379
11428,2018-06-11,-0.9493082716077705,-0.8986921277796934,-0.33619843863648685
11429,2018-06-12,-0.5299416655942636,-0.6261704909254258,-0.19945110987808998
11430,2018-06-13,-0.5662558841881553,-0.6488308800229655,-0.2206700332834529
11431,2018-06-14,-0.2537775489221157,-0.4222941637227978,-0.10686454778789653
11432,2018-06-15,-0.14349671148564225,-0.3175469612368762,-0.060038569361588016
11433,2018-06-18,-0.012379994602226574,-0.19871405593627625,-0.003180417641373461
11434,2018-06-19,0.46512388899742785,0.13483241150071854,0.17191858479871247
11435,2018-06-20,0.37433374386597673,0.09357444223084387,0.1465750944928234
11436,2018-06-21,0.47412901196513446,0.1742936022804581,0.1882410870251849
11437,2018-06-22,0.6241463678303938,0.2809802588042434,0.24680259183617334
11438,2018-06-25,0.9921170020554825,0.5364196752119754,0.38595101750274485
11439,2018-06-26,1.0333538815220882,0.571847271702338,0.40470740778040337
11440,2018-06-27,1.2588826110212796,0.7281772064321156,0.48909258362552
11441,2018-06-28,1.0028810660508556,0.5534511253675779,0.39477936740033404
11442,2018-06-29,1.0058911667552466,0.5698674287155849,0.4030164066907959
11443,2018-07-02,1.3095786329967773,0.8033321011009962,0.532454554168858
11444,2018-07-03,1.1299459123886086,0.7253016835875888,0.4945390275568309
11445,2018-07-05,1.0025442381663074,0.7056233684145785,0.48564513831047457
11446,2018-07-06,1.2027205810339805,0.9065411108232446,0.5992324169598855
11447,2018-07-09,0.16857899814705055,0.2592006292429351,0.24885603628186592
11448,2018-07-10,0.45547109981210704,0.5225576125094908,0.3871692278256733
11449,2018-07-11,0.5330213599195571,0.6352230238168878,0.44574628392125354
11450,2018-07-12,0.4390591057235028,0.6314469470820573,0.4432552698194291
11451,2018-07-13,0.5302772508249469,0.7474104362351899,0.5059144742237531
11452,2018-07-16,0.43145634924128023,0.7276191484675516,0.49594240260936456
11453,2018-07-17,0.47097920872295646,0.8022134397969451,0.5360256696588579
11454,2018-07-18,0.26294893952823795,0.6848499289795552,0.47345461578485953
11455,2018-07-19,0.3462475708898698,0.7634393098745443,0.5216002175711799
11456,2018-07-20,0.23223823217330913,0.6965638577646366,0.49392980068181463
11457,2018-07-23,-0.021328032011178794,0.5283760315611826,0.40856513544490836
11458,2018-07-24,0.1986848052734498,0.6792139269132361,0.49460518409005233
11459,2018-07-25,-0.2655059849763958,0.34621456683883667,0.31926367029967206
11460,2018-07-26,-0.19040274133101934,0.3740856452785546,0.33989373314051985
11461,2018-07-27,-0.41022701198376865,0.19874675444995496,0.2529560031485329
11462,2018-07-30,-0.5416566407168897,0.07834843308346398,0.19597950088254637
11463,2018-07-31,-0.2857850530518559,0.21581855843229245,0.2791596442571247
