Date,Open,High,Low,Close,Adj_Close,Volume,pct_dif_1,price_days,atr_pct,volume_pct,volume_days,x,y,class
9/19/1960,53.86,53.86,53.86,53.86,53.86,3790000,-0.023208318,1,0.006247679,0.358017319,2,-1.0446506,3.1584516,2
9/20/1960,54.01,54.01,54.01,54.01,54.01,3660000,0.002777263,2,0.006202555,0.307999285,1,-2.554016,-3.9024825,3
9/21/1960,54.57,54.57,54.57,54.57,54.57,2930000,0.010262049,3,0.006138904,0.047301323,1,5.3037467,-1.4979284,0
9/22/1960,54.36,54.36,54.36,54.36,54.36,1970000,-0.003863135,1,0.006061442,-0.290984344,1,-4.3918653,-1.0488698,1
9/23/1960,53.9,53.9,53.9,53.9,53.9,2580000,-0.008534323,1,0.006280148,-0.068199603,2,-1.4599634,5.1076503,2
9/26/1960,53.06,53.06,53.06,53.06,53.06,3930000,-0.015831135,1,0.006992084,0.410962183,3,1.809068,-2.1803293,0
9/27/1960,52.94,52.94,52.94,52.94,52.94,3170000,-0.002266717,2,0.006970155,0.134371086,1,-2.6279576,-4.263457,3
9/28/1960,52.48,52.48,52.48,52.48,52.48,3520000,-0.008765244,1,0.006897866,0.254082299,2,-0.7949177,4.035119,2
9/29/1960,52.62,52.62,52.62,52.62,52.62,2850000,0.002660585,2,0.006898518,0.016103155,1,-2.8090625,-4.6359415,3
9/30/1960,53.52,53.52,53.52,53.52,53.52,3370000,0.016816143,3,0.007501868,0.199217128,2,3.1597428,2.8355882,0
10/3/1960,53.36,53.36,53.36,53.36,53.36,2220000,-0.002998501,1,0.007589955,-0.206292456,1,-4.146223,-0.91696316,1
10/4/1960,52.99,52.99,52.99,52.99,52.99,2270000,-0.00698245,1,0.007510851,-0.185260513,2,-1.6796237,5.2562003,2
10/5/1960,53.39,53.39,53.39,53.39,53.39,2650000,0.00749204,2,0.007173628,-0.04767609,3,1.160741,0.20795678,0
10/6/1960,53.72,53.72,53.72,53.72,53.72,2510000,0.006142964,1,0.007390171,-0.097555129,1,-3.375548,-0.97007716,1
10/7/1960,54.03,54.03,54.03,54.03,54.03,2530000,0.005737553,1,0.007292245,-0.090636794,2,-1.4039518,5.3693957,2
