,Date,Open,High,Low,Close,Adj_Close,Volume,pct_dif_1
7421,1957-09-06,44.68,44.68,44.68,44.68,44.68,1320000.0,-0.0031333930170098605
7422,1957-09-09,44.28,44.28,44.28,44.28,44.28,1420000.0,-0.009033423667569977
7423,1957-09-10,43.87,43.87,43.87,43.87,43.87,1870000.0,-0.009345794392523449
7424,1957-09-11,44.26,44.26,44.26,44.26,44.26,2130000.0,0.008811568007230017
7425,1957-09-12,44.82,44.82,44.82,44.82,44.82,2010000.0,0.0124944221329764
7426,1957-09-13,44.8,44.8,44.8,44.8,44.8,1620000.0,-0.00044642857142864124
7427,1957-09-16,44.58,44.58,44.58,44.58,44.58,1290000.0,-0.004934948407357534
7428,1957-09-17,44.64,44.64,44.64,44.64,44.64,1490000.0,0.0013440860215054272
7429,1957-09-18,44.69,44.69,44.69,44.69,44.69,1540000.0,0.0011188185276347542
7430,1957-09-19,44.4,44.4,44.4,44.4,44.4,1520000.0,-0.0065315315315315125
7431,1957-09-20,43.69,43.69,43.69,43.69,43.69,2340000.0,-0.01625085831998171
7432,1957-09-23,42.69,42.69,42.69,42.69,42.69,3160000.0,-0.0234246896228625
7433,1957-09-24,42.98,42.98,42.98,42.98,42.98,2840000.0,0.006747324336900865
7434,1957-09-25,42.98,42.98,42.98,42.98,42.98,2770000.0,0.0
7435,1957-09-26,42.57,42.57,42.57,42.57,42.57,2130000.0,-0.009631195677707226
7436,1957-09-27,42.55,42.55,42.55,42.55,42.55,1750000.0,-0.0004700352526440218
7437,1957-09-30,42.42,42.42,42.42,42.42,42.42,1520000.0,-0.0030645921735029573
7438,1957-10-01,42.76,42.76,42.76,42.76,42.76,1680000.0,0.007951356407857725
7439,1957-10-02,43.1,43.1,43.1,43.1,43.1,1760000.0,0.007888631090487317
7440,1957-10-03,43.14,43.14,43.14,43.14,43.14,1590000.0,0.0009272137227630771
7441,1957-10-04,42.79,42.79,42.79,42.79,42.79,1520000.0,-0.008179481187193303
7442,1957-10-07,42.22,42.22,42.22,42.22,42.22,2490000.0,-0.013500710563713887
7443,1957-10-08,41.95,41.95,41.95,41.95,41.95,3190000.0,-0.006436233611442098
7444,1957-10-09,41.99,41.99,41.99,41.99,41.99,2120000.0,0.0009526077637532543
7445,1957-10-10,40.96,40.96,40.96,40.96,40.96,3300000.0,-0.025146484375000028
7446,1957-10-11,40.94,40.94,40.94,40.94,40.94,4460000.0,-0.000488519785051371
7447,1957-10-14,41.24,41.24,41.24,41.24,41.24,2770000.0,0.007274490785645108
7448,1957-10-15,41.67,41.67,41.67,41.67,41.67,2620000.0,0.01031917446604271
7449,1957-10-16,41.33,41.33,41.33,41.33,41.33,2050000.0,-0.008226469876603035
7450,1957-10-17,40.65,40.65,40.65,40.65,40.65,3060000.0,-0.01672816728167281
